sharpe_ratio,total_trades,win_rate,cagr,max_drawdown,initial_capital,max_capital_used,additional_capital_required,final_capital,realized_pnl,avg_capital_utilization,max_concurrent_trades,macd.fast_period,macd.slow_period,macd.signal_period,support_resistance.support_period,support_resistance.resistance_period,atr.window,ema.period,bollinger_bands.length,bollinger_bands.std,rsi.length,rsi.oversold,rsi.overbought,risk_management.stop_loss_atr_multiplier,risk_management.take_profit_atr_multiplier
10.0,2,100.0,0.20812060145556366,0.0,1000000.0,1000000.0,0.0,1001475.3438312234,1475.3438312234885,0.0,1,8,21,7,10,10,10,10,30,2.2,10,30,65,2.5,2.5
10.0,2,100.0,0.22742444461030242,0.0,1000000.0,1000000.0,0.0,1001786.5825974682,1786.5825974681848,0.0,1,8,21,7,10,10,10,10,30,2.2,10,30,65,2.5,3.0
10.0,2,100.0,0.20812060145556366,0.0,1000000.0,1000000.0,0.0,1001475.3438312234,1475.3438312234885,0.0,1,8,21,7,10,10,10,10,30,2.2,10,30,70,2.5,2.5
10.0,2,100.0,0.22742444461030242,0.0,1000000.0,1000000.0,0.0,1001786.5825974682,1786.5825974681848,0.0,1,8,21,7,10,10,10,10,30,2.2,10,30,70,2.5,3.0
10.0,2,100.0,0.20812060145556366,0.0,1000000.0,1000000.0,0.0,1001475.3438312234,1475.3438312234885,0.0,1,8,21,7,10,10,10,10,30,2.2,10,30,75,2.5,2.5
10.0,2,100.0,0.22742444461030242,0.0,1000000.0,1000000.0,0.0,1001786.5825974682,1786.5825974681848,0.0,1,8,21,7,10,10,10,10,30,2.2,10,30,75,2.5,3.0
10.0,2,100.0,0.20812060145556366,0.0,1000000.0,1000000.0,0.0,1001475.3438312234,1475.3438312234885,0.0,1,8,21,7,10,10,10,10,30,2.2,10,35,65,2.5,2.5
10.0,2,100.0,0.22742444461030242,0.0,1000000.0,1000000.0,0.0,1001786.5825974682,1786.5825974681848,0.0,1,8,21,7,10,10,10,10,30,2.2,10,35,65,2.5,3.0
10.0,2,100.0,0.20812060145556366,0.0,1000000.0,1000000.0,0.0,1001475.3438312234,1475.3438312234885,0.0,1,8,21,7,10,10,10,10,30,2.2,10,35,70,2.5,2.5
10.0,2,100.0,0.22742444461030242,0.0,1000000.0,1000000.0,0.0,1001786.5825974682,1786.5825974681848,0.0,1,8,21,7,10,10,10,10,30,2.2,10,35,70,2.5,3.0
