sharpe_ratio,total_trades,win_rate,cagr,max_drawdown,initial_capital,max_capital_used,additional_capital_required,final_capital,realized_pnl,avg_capital_utilization,max_concurrent_trades,macd.fast_period,macd.slow_period,macd.signal_period,support_resistance.support_period,support_resistance.resistance_period,atr.window,ema.period,bollinger_bands.length,bollinger_bands.std,rsi.length,rsi.oversold,rsi.overbought,risk_management.stop_loss_atr_multiplier,risk_management.take_profit_atr_multiplier
10.0,2,100.0,1.0416008831932944,0.0,1000000.0,1000000.0,0.0,1032899.7620294794,32899.762029479374,0.0,1,8,21,7,10,10,10,10,40,2.2,20,35,65,2.0,2.0
10.0,2,100.0,1.3018345556138122,0.0,1000000.0,1000000.0,0.0,1042081.2275368492,42081.22753684923,0.0,1,8,21,7,10,10,10,10,40,2.2,20,35,65,2.0,2.5
10.0,2,100.0,1.5742456397161764,0.0,1000000.0,1000000.0,0.0,1051262.6930442192,51262.69304421908,0.0,1,8,21,7,10,10,10,10,40,2.2,20,35,65,2.0,3.0
10.0,2,100.0,1.0416008831932944,0.0,1000000.0,1000000.0,0.0,1032899.7620294794,32899.762029479374,0.0,1,8,21,7,10,10,10,10,40,2.2,20,35,65,2.5,2.0
10.0,2,100.0,1.3018345556138122,0.0,1000000.0,1000000.0,0.0,1042081.2275368492,42081.22753684923,0.0,1,8,21,7,10,10,10,10,40,2.2,20,35,65,2.5,2.5
10.0,2,100.0,1.5742456397161764,0.0,1000000.0,1000000.0,0.0,1051262.6930442192,51262.69304421908,0.0,1,8,21,7,10,10,10,10,40,2.2,20,35,65,2.5,3.0
10.0,2,100.0,1.0416008831932944,0.0,1000000.0,1000000.0,0.0,1032899.7620294794,32899.762029479374,0.0,1,8,21,7,10,10,10,10,40,2.2,20,35,70,2.0,2.0
10.0,2,100.0,1.3018345556138122,0.0,1000000.0,1000000.0,0.0,1042081.2275368492,42081.22753684923,0.0,1,8,21,7,10,10,10,10,40,2.2,20,35,70,2.0,2.5
10.0,2,100.0,1.5742456397161764,0.0,1000000.0,1000000.0,0.0,1051262.6930442192,51262.69304421908,0.0,1,8,21,7,10,10,10,10,40,2.2,20,35,70,2.0,3.0
10.0,2,100.0,1.0416008831932944,0.0,1000000.0,1000000.0,0.0,1032899.7620294794,32899.762029479374,0.0,1,8,21,7,10,10,10,10,40,2.2,20,35,70,2.5,2.0
10.0,2,100.0,1.3018345556138122,0.0,1000000.0,1000000.0,0.0,1042081.2275368492,42081.22753684923,0.0,1,8,21,7,10,10,10,10,40,2.2,20,35,70,2.5,2.5
10.0,2,100.0,1.5742456397161764,0.0,1000000.0,1000000.0,0.0,1051262.6930442192,51262.69304421908,0.0,1,8,21,7,10,10,10,10,40,2.2,20,35,70,2.5,3.0
10.0,2,100.0,1.0416008831932944,0.0,1000000.0,1000000.0,0.0,1032899.7620294794,32899.762029479374,0.0,1,8,21,7,10,10,10,10,40,2.2,20,35,75,2.0,2.0
