sharpe_ratio,total_trades,win_rate,cagr,max_drawdown,initial_capital,max_capital_used,additional_capital_required,final_capital,realized_pnl,avg_capital_utilization,max_concurrent_trades,macd.fast_period,macd.slow_period,macd.signal_period,support_resistance.support_period,support_resistance.resistance_period,atr.window,ema.period,bollinger_bands.length,bollinger_bands.std,rsi.length,rsi.oversold,rsi.overbought,risk_management.stop_loss_atr_multiplier,risk_management.take_profit_atr_multiplier
10.0,2,100.0,0.555429531922047,0.0,1000000.0,1000000.0,0.0,1022651.0707736539,22651.07077365394,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,1.5,2.0
10.0,2,100.0,0.6883055478314803,0.0,1000000.0,1000000.0,0.0,1028126.6759670674,28126.675967067407,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,1.5,2.5
10.0,2,100.0,0.8206499559274549,0.0,1000000.0,1000000.0,0.0,1033602.2811604809,33602.2811604809,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,1.5,3.0
10.0,2,100.0,0.555429531922047,0.0,1000000.0,1000000.0,0.0,1022651.0707736539,22651.07077365394,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,2.0,2.0
10.0,2,100.0,0.6883055478314803,0.0,1000000.0,1000000.0,0.0,1028126.6759670674,28126.675967067407,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,2.0,2.5
10.0,2,100.0,0.8206499559274549,0.0,1000000.0,1000000.0,0.0,1033602.2811604809,33602.2811604809,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,2.0,3.0
10.0,2,100.0,0.555429531922047,0.0,1000000.0,1000000.0,0.0,1022651.0707736539,22651.07077365394,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,2.5,2.0
10.0,2,100.0,0.6883055478314803,0.0,1000000.0,1000000.0,0.0,1028126.6759670674,28126.675967067407,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,2.5,2.5
10.0,2,100.0,0.8206499559274549,0.0,1000000.0,1000000.0,0.0,1033602.2811604809,33602.2811604809,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,2.5,3.0
10.0,2,100.0,0.555429531922047,0.0,1000000.0,1000000.0,0.0,1022651.0707736539,22651.07077365394,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,70,1.5,2.0
