sharpe_ratio,total_trades,win_rate,cagr,max_drawdown,initial_capital,max_capital_used,additional_capital_required,final_capital,realized_pnl,avg_capital_utilization,max_concurrent_trades,macd.fast_period,macd.slow_period,macd.signal_period,support_resistance.support_period,support_resistance.resistance_period,atr.window,ema.period,bollinger_bands.length,bollinger_bands.std,rsi.length,rsi.oversold,rsi.overbought,risk_management.stop_loss_atr_multiplier,risk_management.take_profit_atr_multiplier
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,1.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,1.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,1.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,2.0,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,2.0,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,2.0,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,2.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,2.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,65,2.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,70,1.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,70,1.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,70,1.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,70,2.0,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,70,2.0,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,70,2.0,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,70,2.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,70,2.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,70,2.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,75,1.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,75,1.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,75,1.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,75,2.0,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,75,2.0,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,75,2.0,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,75,2.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,75,2.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,1.8,20,30,75,2.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,65,1.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,65,1.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,65,1.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,65,2.0,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,65,2.0,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,65,2.0,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,65,2.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,65,2.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,65,2.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,70,1.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,70,1.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,70,1.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,70,2.0,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,70,2.0,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,70,2.0,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,70,2.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,70,2.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,70,2.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,75,1.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,75,1.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,75,1.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,75,2.0,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,75,2.0,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,75,2.0,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,75,2.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,75,2.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.0,20,30,75,2.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,65,1.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,65,1.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,65,1.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,65,2.0,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,65,2.0,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,65,2.0,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,65,2.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,65,2.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,65,2.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,70,1.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,70,1.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,70,1.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,70,2.0,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,70,2.0,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,70,2.0,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,70,2.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,70,2.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,70,2.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,75,1.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,75,1.5,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,75,1.5,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,75,2.0,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,75,2.0,2.5
10.0,2,100.0,1.736257574768496,0.0,10000.0,10000.0,0.0,10720.881888738677,720.8818887386765,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,75,2.0,3.0
10.0,2,100.0,1.1823396720665569,0.0,10000.0,10000.0,0.0,10486.787925825785,486.78792582578444,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,75,2.5,2.0
10.0,2,100.0,1.4604492090702914,0.0,10000.0,10000.0,0.0,10603.834907282231,603.8349072822302,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,75,2.5,2.5
