symbol,entry_date,entry_price,quantity,investment,additional_capital_needed,cash_after_entry,stop_loss,take_profit,exit_date,exit_price,exit_reason,pnl,return_pct
HINDUNILVR,2020-06-23,2115.0,472,998280.0,0,1720.0,2028.90649026722,2244.5870194655604,2020-07-13,2244.5870194655604,take_profit,61165.07318774451,6.127045837615149
ABBOTINDIA,2020-07-23,14975.0,1,14975.0,0,1046190.0731877445,14148.007749616349,15726.892250383651,2020-08-03,15726.892250383651,take_profit,751.8922503836511,5.020983308071126
LT,2020-08-04,918.0,1089,999702.0,0,62214.965438128216,881.387286778869,984.925426442262,2020-08-13,984.925426442262,take_profit,72881.78939562337,7.290351464298698
PFC,2020-08-06,66.4,936,62150.40000000001,0,1072648.3548337517,62.97507835910489,72.64984328179023,2020-08-11,72.64984328179023,take_profit,5849.853311755645,9.412414581009365
COLPAL,2020-09-01,1370.0,729,998730.0,0,141918.60814550729,1317.9680327472192,1453.8139345055615,2020-09-29,1453.8139345055615,take_profit,61100.35825455435,6.117805438362154
DABUR,2020-09-01,478.4,296,141606.4,0,1060142.5664000618,445.19508937795206,509.8858927464576,2020-09-11,509.8858927464576,take_profit,9319.824252951461,6.581499319911714
MUTHOOTFIN,2020-09-22,1030.0,146,150380.0,0,1060688.7906530132,954.2837056472226,1180.449441529166,2020-10-05,1180.449441529166,take_profit,21965.618463258244,14.606741896035539
GAIL,2020-09-23,49.43,17,840.31,0,1232194.0991162714,45.84221971103604,52.65037371861861,2020-11-10,52.65037371861861,take_profit,54.746353216516376,6.51501864984546
CANBK,2020-09-25,13.63,1,13.63,0,1233075.525469488,12.189896357921125,15.91020728415775,2020-11-10,15.91020728415775,take_profit,2.2802072841577488,16.72932710313829
TATACONSUM,2020-10-12,468.65,2133,999630.45,0,233460.9856767722,421.5797403489881,518.0943115812142,2020-11-19,518.0943115812142,take_profit,105464.71660273003,10.550370549709648
VEDL,2020-10-13,56.45,4119,232517.55000000002,0,1106038.6022795022,39.81771972662072,85.21456054675856,2020-12-03,85.21456054675856,take_profit,118481.2248920985,50.95582027769452
INDUSTOWER,2020-11-14,182.6,5,913.0,0,1456124.3771716007,163.94407827819165,194.1047373774467,2020-11-19,194.1047373774467,take_profit,57.52368688723351,6.30051335018987
MPHASIS,2020-11-25,1286.1,777,999299.7,0,457795.200858488,1215.8135315576812,1408.072936884638,2020-12-23,1408.072936884638,take_profit,94772.9719593638,9.483938798276814
CIPLA,2020-12-01,753.0,141,106173.0,0,1445694.8728178516,693.5792733124182,797.6207266875819,2020-12-15,797.6207266875819,take_profit,6291.522462949041,5.925727315747922
ADANIGREEN,2021-01-13,930.0,1075,999750.0,0,558409.3952808008,804.9018603688819,1067.2477675573416,2021-02-04,1067.2477675573416,take_profit,147541.35012414222,14.757824468531355
ABBOTINDIA,2021-01-20,14645.0,1,14645.0,0,1691055.745404943,13834.948419160166,15368.451580839836,2021-04-08,15368.451580839836,take_profit,723.4515808398355,4.939922026902257
COALINDIA,2021-01-28,97.0,5605,543685.0,0,1162739.1969857828,87.2864115706812,111.18630611518256,2021-02-04,111.18630611518256,take_profit,79514.24577559825,14.625057850703671
NESTLEIND,2021-02-19,1643.0,608,998944.0,0,786994.4427613812,1579.570328827052,1750.209342345896,2021-04-07,1750.209342345896,take_profit,65183.280146304736,6.525218645520144
DABUR,2021-02-23,502.0,1537,771574.0,0,1079547.722907686,469.8175009567376,536.9889988519149,2021-03-30,536.9889988519149,take_profit,53778.091235393134,6.96992009002288
SIEMENS,2021-04-13,1731.0,577,998787.0,0,906112.8141430791,1637.3314907803942,1914.5870184392115,2021-04-29,1914.5870184392115,take_profit,105929.70963942505,10.605835842819845
